Airani,ai - ɾ a - n i
Ao,ao
Aotea,ao - t e - a
Aotearoa,ao - t e - a - ɾ o - a
Autaia,au - t ai - a
Ahakoa,a - h a - k o - a
Ahitereiria,a - h i - t e - ɾ ei - ɾ i - a
Akarana,a - k a - ɾ a - n a
Akona,a - k o - n a
Amerika,a - m e - ɾ i - k a
Anō,a - n o:
Arā,a - ɾ a:
Ariki,a - ɾ i - k i
Aroha,a - ɾ o - h a
Atu,a - t u
Atua,a - t u - a
Awa,a - w a
ai,ai
aitua,ai - t u - a
ao,ao
aua,au - a
auau,au - au
aue,au - e
aukati,au - k a - t i
autaia,au - t ai - a
aha,a - h a
ahau,a - h au
ahakoa,a - h a - k o - a
ahi,a - h i
ahu,a - h u
ahua,a - h u - a
ahuatanga,a - h u - a - t a - ŋ a
ake,a - k e
akongia,a - k o - ŋ i - a
ama,a - m a
amorangi,a - m o - ɾ a - ŋ i
anake,a - n a - k e
ano,a - n o
anō,a - n o:
ara,a - ɾ a
arā,a - ɾ a:
ariki,a - ɾ i - k i
aroaro,a - ɾ o - a - ɾ o
aroha,a - ɾ o - h a
aronga,a - ɾ o - ŋ a
atu,a - t u
atua,a - t u - a
awa,a - w a
anga,a - ŋ a
Āhia,a: - h i - a
Ākuhata,a: - k u - h a - t a
Ārai,a: - ɾ ai
Āwhina,a: - f i - n a
āe,a:e
āhau,a: - h au
āhua,a: - h u - a
āhuatanga,a: - h u - a - t a - ŋ a
ārai,a: - ɾ ai
ārahi,a: - ɾ a - h i
ātea,a: - t e - a
āwhina,a: - f i - n a
Ehara,e - h a - ɾ a
Engari,e - ŋ a - ɾ i
ehara,e - h a - ɾ a
enei,e - n ei
engari,e - ŋ a - ɾ i
Ētahi,e: - t a - h i
ēnei,e: - n ei
ērā,e: - ɾ a:
ētahi,e: - t a - h i
Ihu,i - h u
Ika,i - k a
Ināianei,i - n a:i - a - n ei
Iti,i - t i
Iwi,i - w i
Ingarangi,i - ŋ a - ɾ a - ŋ i
Ingarihi,i - ŋ a - ɾ i - h i
Ingoa,i - ŋ o - a
ihi,i - h i
iho,i - h o
ika,i - k a
ina,i - n a
inaianei,i - n ai - a - n ei
inu,i - n u
iriiritia,i - ɾ i - i - ɾ i - t i - a
iti,i - t i
itiiti,i - t i - i - t i
iwa,i - w a
iwi,i - w i
ingoa,i - ŋ o - a
Oketopa,o - k e - t o - p a
Otakou,o - t a - k ou
ona,o - n a
ono,o - n o
oranga,o - ɾ a - ŋ a
ōna,o: n a
ōrite,o: - ɾ i - t e
Urewera,u - ɾ e - w e - ɾ a
uaua,u - au - a
uiui,u i - u i
unu,u - n u
uri,u - ɾ i
uru,u - ɾ u
utu,u - t u
Haere,h ae - ɾ e
Haina,h ai - n a
Hau,h au
Hauāuru,h au - a: - u - ɾ u
Hara,h a - ɾ a
Haramai,h a - ɾ a - m ai
Hawai,h a - w ai
Hawaiki,h a - w ai - k i
Hāhi,h a: - h i
Hāmoa,h a: - m o - a
Hānuere,h a: - n u - e - ɾ e
Hāpara,h a: - p a - ɾ a
Hei,h ei
Heoi,h e - oi
Heoti,h e - o - t i
Heke,h e - k e
Hepetema,h e - p e - t e - m a
Hītori,h i: - t o - ɾ i
Hoi,h oi
Hou,h ou
Hoki,h o - k i
Hokinga,h o - k i - ŋ a
Hone,h o - n e
Hononga,h o - n o - ŋ a
Hui,h u - i
Hune,h u - n e
Huringa,h u - ɾ i - ŋ a
haere,h ae - ɾ e
haeremai,h ae - ɾ e - m ai
haerenga,h ae - ɾ e - ŋ a
hainamana,h ai - n a - m a - n a
hau,h au
hauāuru,h au - a: - u - ɾ u
hara,h a - ɾ a
haramai,h a - ɾ a - m ai
hanga,h a - ŋ a
hāhi,h a: - h i
hāpai,h a: - p ai
hāngai,h a: - ŋ ai
hea,h e - a
hei,h ei
heke,h e - k e
herenga,h e - ɾ e - ŋ a
hē,h e:
hia,h i - a
hiahia,h i - a - h i - a
hiahiatia,h i - a - h i - a - t i - a
hiki,h i - k i
hipa,h i - p a
hinga,h i - ŋ a
hinganga,h i - ŋ a - ŋ a
hoa,h o - a
hoatu,h o - a - t u
hou,h ou
hohoro,h o - h o - ɾ o
hoki,h o - k i
hokia,h o - k i - a
hokohoko,h o - k o - h o - k o
homai,h o - m ai
hononga,h o - n o - ŋ a
horoi,h o - ɾ oi
horoia,h o - ɾ oi - a
huarahi,h u - a - ɾ a - h i
hui,h u - i
huihuinga,h u - i - h u - i - ŋ a
huri,h u - ɾ i
hurihia,h u - ɾ i - h i - a
huringa,h u - ɾ i - ŋ a
hunga,h u - ŋ a
hū,h u:
KAPE,k a - p e
Kaiāwhina,k ai - a: - f i - n a
Kaihanga,k ai - h a - ŋ a
Kaunihera,k au - n i - h e - ɾ a
Kaupapa,k au - p a - p a
Kauri,k au - ɾ i
Karaiti,k a - ɾ ai - t i
Karaitiana,k a - ɾ ai - t i - a - n a
Kawana,k a - w a - n a
Kāinga,k a:i - ŋ a
Kāore,k a:o - ɾ e
Kāhore,k a: - h o - ɾ e
Kāhui,k a: - h u - i
Kānara,k a: - n a - ɾ a
Kātahi,k a: - t a - h i
Kāwana,k a: - w a - n a
