Airani aiRani
Ao ao
Aotea aotea
Aotearoa aoteaRoa
Autaia autaia
Ahakoa ahakoa
Ahitereiria ahiteReiRia
Akarana akaRana
Akona akona
Amerika ameRika
Anō ano:
Arā aRa:
Ariki aRiki
Aroha aRoha
Atu atu
Atua atua
Awa awa
ai ai
aitua aitua
ao ao
aua aua
auau auau
aue aue
aukati aukati
autaia autaia
aha aha
ahau ahau
ahakoa ahakoa
ahi ahi
ahu ahu
ahua ahua
ahuatanga ahuataNa
ake ake
akongia akoNia
ama ama
amorangi amoRaNi
anake anake
ano ano
anō ano:
ara aRa
arā aRa:
ariki aRiki
aroaro aRoaRo
aroha aRoha
aronga aRoNa
atu atu
atua atua
awa awa
anga aNa
Āhia a:hia
Ākuhata a:kuhata
Ārai a:Rai
Āwhina a:fina
āe a:e
āhau a:hau
āhua a:hua
āhuatanga a:huataNa
ārai a:Rai
ārahi a:Rahi
ātea a:tea
āwhina a:fina
Ehara ehaRa
Engari eNaRi
ehara ehaRa
enei enei
engari eNaRi
Ētahi e:tahi
ēnei e:nei
ērā e:Ra:
ētahi e:tahi
Ihu ihu
Ika ika
Ināianei ina:ianei
Iti iti
Iwi iwi
Ingarangi iNaRaNi
Ingarihi iNaRihi
Ingoa iNoa
ihi ihi
iho iho
ika ika
ina ina
inaianei inaianei
inu inu
iriiritia iRiiRitia
iti iti
itiiti itiiti
iwa iwa
iwi iwi
ingoa iNoa
Oketopa oketopa
Otakou otakou
ona ona
ono ono
oranga oRaNa
ōna o:na
ōrite o:Rite
Urewera uReweRa
uaua uaua
uiui uiui
unu unu
uri uRi
uru uRu
utu utu
Haere haeRe
Haina haina
Hau hau
Hauāuru haua:uRu
Hara haRa
Haramai haRamai
Hawai hawai
Hawaiki hawaiki
Hāhi ha:hi
Hāmoa ha:moa
Hānuere ha:nueRe
Hāpara ha:paRa
Hei hei
Heoi heoi
Heoti heoti
Heke heke
Hepetema hepetema
Hītori hi:toRi
Hoi hoi
Hou hou
Hoki hoki
Hokinga hokiNa
Hone hone
Hononga honoNa
Hui hui
Hune hune
Huringa huRiNa
haere haeRe
haeremai haeRemai
haerenga haeReNa
hainamana hainamana
hau hau
hauāuru haua:uRu
hara haRa
haramai haRamai
hanga haNa
hāhi ha:hi
hāpai ha:pai
hāngai ha:Nai
hea hea
hei hei
heke heke
herenga heReNa
hē he:
hia hia
hiahia hiahia
hiahiatia hiahiatia
hiki hiki
hipa hipa
hinga hiNa
hinganga hiNaNa
hoa hoa
hoatu hoatu
hou hou
hohoro hohoRo
hoki hoki
hokia hokia
hokohoko hokohoko
homai homai
hononga honoNa
horoi hoRoi
horoia hoRoia
huarahi huaRahi
hui hui
huihuinga huihuiNa
huri huRi
hurihia huRihia
huringa huRiNa
hunga huNa
hū hu:
KAPE kape
Kaiāwhina kaia:fina
Kaihanga kaihaNa
Kaunihera kauniheRa
Kaupapa kaupapa
Kauri kauRi
Karaiti kaRaiti
Karaitiana kaRaitiana
Kawana kawana
Kāinga ka:iNa
Kāore ka:oRe
Kāhore ka:hoRe
Kāhui ka:hui
Kānara ka:naRa
Kātahi ka:tahi
Kāwana ka:wana
Kei kei
Kiri kiRi
Kirikiriroa kiRikiRiRoa
Kiwa kiwa
Kiwi kiwi
Kīwaha ki:waha
Kīngitanga ki:NitaNa
Koe koe
Koia koia
Kohi kohi
Korero koReRo
Kōhanga ko:haNa
Kōrero ko:ReRo
Kōrerorero ko:ReRoReRo
Kua kua
Kuki kuki
kaiako kaiako
kaiāwhina kaia:fina
kaihanga kaihaNa
kaikōrero kaiko:ReRo
kaimahi kaimahi
kaitiaki kaitiaki
kaiwhakahaere kaifakahaeRe
kau kau
kaua kaua
kaupapa kaupapa
kaha kaha
kape kape
karakia kaRakia
kararehe kaRaRehe
karanga kaRaNa
karangahia kaRaNahia
karawhiu kaRafiu
kare kaRe
karihi kaRihi
katoa katoa
katoatia katoatia
katohia katohia
kawa kawa
kawana kawana
kawe kawe
kanga kaNa
kāinga ka:iNa
kāore ka:oRe
kāhore ka:hoRe
kāhui ka:hui
kāre ka:Re
kāwanatanga ka:wanataNa
kei kei
kerēme keRe:me
kē ke:
kētia ke:tia
kikokiko kikokiko
kimi kimi
kino kino
kirihimete kiRihimete
kitea kitea
kitenga kiteNa
kiwa kiwa
kī ki:
kīa ki:a
kīwaha ki:waha
koa koa
koe koe
koi koi
koia koia
koina koina
koutou koutou
kohatu kohatu
konei konei
kore koRe
korero koReRo
kotahi kotahi
kōkā ko:ka:
kōrero ko:ReRo
kōrerohia ko:ReRohia
kōrerotia ko:ReRotia
kōti ko:ti
kua kua
kukume kukume
kupu kupu
kura kuRa
Mai mai
Maori maoRi
Mauri mauRi
Maunga mauNa
Mahuta mahuta
Makaurau makauRau
Maniapoto maniapoto
Manu manu
Marae maRae
Mata mata
Matapihi matapihi
Mangu maNu
Mā ma:
Māori ma:oRi
Māui ma:ui
Mātao ma:tao
Mātau ma:tau
Mātauranga ma:tauRaNa
Mea mea
Mei mei
Mehemea mehemea
Mihinare mihinaRe
Miro miRo
Moa moa
Moana moana
Moutere mouteRe
Mohio mohio
Moni moni
Motu motu
Muri muRi
maero maeRo
mai mai
maori maoRi
mau mau
mauri mauRi
mauria mauRia
maunga mauNa
maha maha
mahi mahi
maku maku
mamao mamao
mana mana
manaakitia manaakitia
manawa manawa
mano mano
manu manu
manuhiri manuhiRi
marae maRae
marama maRama
maru maRu
mata mata
matau matau
mataku mataku
matatau matatau
matenga mateNa
matou matou
matua matua
mā ma:
māori ma:oRi
māu ma:u
māharahara ma:haRahaRa
māhunga ma:huNa
māna ma:na
mārama ma:Rama
māramatanga ma:RamataNa
mātau ma:tau
mātou ma:tou
mātua ma:tua
mea mea
mema mema
mena mena
mēnā me:na:
mihi mihi
mihinare mihinaRe
mita mita
mīharo mi:haRo
moana moana
mou mou
moumou moumou
moutere mouteRe
mohio mohio
mohoao mohoao
mokemoke mokemoke
moko moko
momo momo
motu motu
motuhake motuhake
mō mo:
mōhio mo:hio
mōhiotia mo:hiotia
mōna mo:na
mua mua
muri muRi
murua muRua
mutu mutu
mutunga mutuNa
Nau nau
NĀNA na:na
Nā na:
Nāna na:na
Nekehia nekehia
Nō no:
Nui nui
Nuku nuku
naianei naianei
nana nana
nanakia nanakia
nā na:
nāianei na:ianei
nāku na:ku
nāna na:na
nei nei
nehe nehe
nehua nehua
neke neke
nekehia nekehia
noa noa
noho noho
nohoanga nohoaNa
nō no:
nui nui
nuinga nuiNa
nuku nuku
nunui nunui
Paea paea
Pai pai
Paipera paipeRa
Paoa paoa
Paora paoRa
Pakanga pakaNa
Pakeha pakeha
Panui panui
Papatūānuku papatu:a:nuku
Parau paRau
Paremata paRemata
Pākehā pa:keha:
Pānui pa:nui
Pāremata pa:Remata
Pepuere pepueRe
Pērā pe:Ra:
Piki piki
Pipiri pipiRi
Poi poi
Poneke poneke
Pōneke po:neke
Pukapuka pukapuka
Pupuri pupuRi
Puri puRi
pae pae
paepae paepae
pai pai
paopao paopao
paha paha
pahure pahuRe
pakaru pakaRu
pakanga pakaNa
pakeha pakeha
pakeke pakeke
paku paku
pana pana
panaia panaia
panui panui
papai papai
parāoa paRa:oa
pare paRe
paremata paRemata
patua patua
pā pa:
pānui pa:nui
pātai pa:tai
pātata pa:tata
pānga pa:Na
pāngarau pa:NaRau
peia peia
peka peka
penei penei
pepeha pepeha
pera peRa
pēnā pe:na:
pēnei pe:nei
pērā pe:Ra:
piki piki
piri piRi
pirihimana piRihimana
pito pito
poi poi
poua poua
pouaka pouaka
pounamu pounamu
pono pono
pononga ponoNa
poti poti
pukapuka pukapuka
puke puke
puna puna
puri puRi
puta puta
putanga putaNa
putu putu
pū pu:
pūmau pu:mau
Rau Rau
Rautau Rautau
Rahi Rahi
Rakiura RakiuRa
Rapa Rapa
Rarotonga RaRotoNa
Raru RaRu
Rangahau RaNahau
Rangatira RaNatiRa
Rangatiratanga RaNatiRataNa
Rangi RaNi
Ranginui RaNinui
Rā Ra:
Rāhoroi Ra:hoRoi
Rārangi Ra:RaNi
Reo Reo
Rehua Rehua
Rino Rino
Rotorua RotoRua
Rongorongo RoNoRoNo
Rōpū Ro:pu:
Runa Runa
Runga RuNa
rau Rau
rautau Rautau
rahi Rahi
rahinga RahiNa
rakau Rakau
raki Raki
raro RaRo
raruraru RaRuRaRu
ratou Ratou
rawa Rawa
rawatia Rawatia
ranga RaNa
rangahau RaNahau
rangatira RaNatiRa
rangi RaNi
rangona RaNona
rawhiti Rafiti
rā Ra:
rākau Ra:kau
rānei Ra:nei
rārangi Ra:RaNi
rātou Ra:tou
rāwhiti Ra:fiti
reira ReiRa
reo Reo
reorua ReoRua
rere ReRe
rerekē ReReke:
rerekētanga ReReke:taNa
rererangi ReReRaNi
rerenga ReReNa
rēwena Re:wena
rima Rima
riri RiRi
riro RiRo
ritenga RiteNa
rīpeka Ri:peka
rīriki Ri:Riki
roa Roa
roanga RoaNa
rohe Rohe
rorohiko RoRohiko
roto Roto
rongo RoNo
rongonui RoNonui
rōpū Ro:pu:
rua Rua
ruarua RuaRua
rumaki Rumaki
runga RuNa
Tainui tainui
Taone taone
Taonga taoNa
Taura tauRa
Tauranga tauRaNa
Tautohe tautohe
Taha taha
Tahiti tahiti
Tahu tahu
Taki taki
Takiwā takiwa:
Tapu tapu
Taputapu taputapu
Tari taRi
Tangata taNata
Tangihanga taNihaNa
Tawhito tafito
Tāone ta:one
Tāhuhu ta:huhu
Tāmaki ta:maki
Tāmati ta:mati
Te te
Tekau tekau
Tena tena
Tenei tenei
Tēnā te:na:
Tērā te:Ra:
Tiakina tiakina
Tiamana tiamana
Tika tika
Tikanga tikaNa
Tino tino
Tiriti tiRiti
Tirohia tiRohia
Tiwha tifa
Tī ti:
Tīmata ti:mata
Toi toi
Tohu tohu
Tohunga tohuNa
Tonga toNa
Tō to:
Tuatahi tuatahi
Tuhia tuhia
Tumu tumu
Tumuaki tumuaki
Tupuna tupuna
Ture tuRe
tae tae
taea taea
taenga taeNa
taikaha taikaha
taima taima
taina taina
tairawhiti taiRafiti
taone taone
taonga taoNa
taua taua
tauira tauiRa
taumata taumata
tautohe tautohe
tautoko tautoko
tautokohia tautokohia
taha taha
tahi tahi
tahito tahito
tahu tahu
tahua tahua
tahuri tahuRi
taka taka
takariri takaRiRi
takanga takaNa
takiwa takiwa
takiwā takiwa:
takoto takoto
tamariki tamaRiki
tana tana
tapa tapa
tapaina tapaina
tapu tapu
taro taRo
tatau tatau
tatou tatou
tawahi tawahi
tangata taNata
tangi taNi
tawhiti tafiti
tawhito tafito
tā ta:
tāia ta:ia
tāone ta:one
tākaro ta:kaRo
tāna ta:na
tātou ta:tou
tāwāhi ta:wa:hi
tāngata ta:Nata
te te
tei tei
teitei teitei
tekau tekau
tenei tenei
tere teRe
tetehi tetehi
tēnā te:na:
tēnei te:nei
tērā te:Ra:
tētahi te:tahi
tētehi te:tehi
tiakina tiakina
tihi tihi
tika tika
tikanga tikaNa
timata timata
timu timu
tinana tinana
tino tino
tira tiRa
tirohanga tiRohaNa
titiro titiRo
tīmata ti:mata
tīmatanga ti:mataNa
toa toa
tohatoha tohatoha
tohu tohu
tohua tohua
tohutō tohuto:
tohunga tohuNa
tokerau tokeRau
toki toki
tokomaha tokomaha
tokorua tokoRua
tokotoko tokotoko
tokotoru tokotoRu
tomo tomo
tona tona
tono tono
tonu tonu
tonutia tonutia
toro toRo
toru toRu
toto toto
tonga toNa
tō to:
tōku to:ku
tōna to:na
tua tua
tuari tuaRi
tuarua tuaRua
tuatahi tuatahi
tuatoru tuatoRu
tuawhā tuafa:
tuawhitu tuafitu
tuhi tuhi
tuhia tuhia
tuhituhi tuhituhi
tuku tuku
tukuna tukuna
tumu tumu
tumuaki tumuaki
tupu tupu
tupuna tupuna
turanga tuRaNa
ture tuRe
turi tuRi
tutuki tutuki
tū tu:
tūmomo tu:momo
tūpato tu:pato
tūpuna tu:puna
tūranga tu:RaNa
tūturu tu:tuRu
tūnga tu:Na
Wai wai
Waikato waikato
Wairua waiRua
Waitangi waitaNi
Wahi wahi
Waka waka
Wā wa:
Wāhine wa:hine
Wehe wehe
Wīwī wi:wi:
wae wae
waenganui waeNanui
wai wai
waiho waiho
wairua waiRua
waha waha
wahi wahi
wahine wahine
waho waho
waka waka
wareware waRewaRe
waru waRu
wā wa:
wāhanga wa:haNa
wāhi wa:hi
wāhine wa:hine
wānanga wa:naNa
wāpu wa:pu
wātea wa:tea
wehe wehe
Nga Na
Ngai Nai
Ngata Nata
Ngati Nati
Ngā Na:
nga Na
ngaro NaRo
ngata Nata
ngā Na:
ngākau Na:kau
ngētehi Ne:tehi
Whakaahua fakaahua
Whakaakoranga fakaakoRaNa
Whakaata fakaata
Whakamana fakamana
Whakamutunga fakamutuNa
Whakapā fakapa:
Whakapono fakapono
Whakatau fakatau
Whakatūpato fakatu:pato
Whanau fanau
Whanga faNa
Whanganui faNanui
Whānautanga fa:nautaNa
Whānui fa:nui
Whenua fenua
Whiri fiRi
Whiringa fiRiNa
Whiti fiti
Whoatu foatu
wha fa
whai fai
whakaae fakaae
whakaaetia fakaaetia
whakaahua fakaahua
whakaahuatia fakaahuatia
whakaakoranga fakaakoRaNa
whakaaro faka:Ro
whakaatu fakaatu
whakairia fakaiRia
whakairo fakaiRo
whakaiti fakaiti
whakaoho fakaoho
whakaora fakaoRa
whakaoranga fakaoRaNa
whakaoti fakaoti
whakauru fakauRu
whakautu fakautu
whakahaere fakahaeRe
whakahaeretia fakahaeRetia
whakahau fakahau
whakahē fakahe:
whakahirahira fakahiRahiRa
whakahoki fakahoki
whakahua fakahua
whakakaha fakakaha
whakakore fakakoRe
whakakorengia fakakoReNia
whakamaumahara fakamaumahaRa
whakamahi fakamahi
whakamahia fakamahia
whakamana fakamana
whakamāori fakama:oRi
whakamāoritanga fakama:oRitaNa
whakamārama fakama:Rama
whakamāramatanga fakama:RamataNa
whakamihi fakamihi
whakamua fakamua
whakamutunga fakamutuNa
whakanui fakanui
whakapai fakapai
whakapapa fakapapa
whakapono fakapono
whakapuare fakapuaRe
whakaputa fakaputa
whakararo fakaRaRo
whakarārangi fakaRa:RaNi
whakarerekē fakaReReke:
whakaritenga fakaRiteNa
whakaroa fakaRoa
whakarongo fakaRoNo
whakatau fakatau
whakatauki fakatauki
whakataukī fakatauki:
whakatakoto fakatakoto
whakatakotohia fakatakotohia
whakatere fakateRe
whakatikatika fakatikatika
whakatuwhera fakatufeRa
whakatūhia fakatu:hia
whakatūria fakatu:Ria
whakawā fakawa:
whakangā fakaNa:
whakawhānui fakafa:nui
whakawhiti fakafiti
whakawhiwhia fakafifia
whanaunga fanauNa
wharekai faRekai
whawhai fafai
whā fa:
whāia fa:ia
whānau fa:nau
whānui fa:nui
whārangi fa:RaNi
whāwhā fa:fa:
whea fea
wheketere feketeRe
whenua fenua
whirinaki fiRinaki
whiti fiti
whitu fitu
whiwhi fifi
 
 
860 
